Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,SEA,F,19,4,17.3,1.8,5.2,0.347,0.4,1.9,0.222,1.4,3.3,0.419,0.6,1.3,0.458,0.6,2.9,1.6,1.1,0.2,2.1,1.4,4.6
Jessica Adair,MIN,C,19,0,8.8,0.7,1.9,0.351,0.0,0.0,,0.7,1.9,0.351,1.1,1.8,0.571,0.6,2.1,0.3,0.2,0.2,0.7,1.5,2.4
Danielle Adams,SAS,F-C,34,5,20.2,4.1,9.4,0.441,1.1,3.3,0.339,3.0,6.1,0.495,2.4,3.2,0.759,1.8,4.7,1.0,0.7,0.7,1.2,2.8,11.8
Matee Ajavon,WAS,G,33,22,21.6,2.5,8.3,0.299,0.9,3.1,0.301,1.5,5.2,0.298,2.0,2.5,0.827,0.6,1.8,2.0,1.6,0.2,2.0,2.9,7.9
Nicky Anosike,LAS,F-C,10,0,5.7,0.2,0.8,0.25,0.0,0.0,,0.2,0.8,0.25,0.6,0.6,1.0,0.0,1.2,0.5,0.3,0.2,0.6,0.9,1.0
Jayne Appel-Marinelli,SAS,C,33,30,18.9,1.4,2.6,0.553,0.0,0.0,0.0,1.4,2.5,0.56,0.7,0.9,0.759,1.9,6.5,1.2,0.5,0.9,1.2,2.0,3.5
Seimone Augustus*,MIN,G-F,29,29,28.5,6.6,13.5,0.491,1.6,3.6,0.437,5.1,9.9,0.51,1.8,2.1,0.852,0.6,3.6,2.5,0.9,0.2,1.7,1.1,16.6
Mistie Bass,CON,F,32,10,18.7,3.1,5.8,0.529,0.0,0.0,0.0,3.1,5.8,0.532,1.8,2.5,0.713,1.8,4.5,1.0,0.8,0.4,1.3,1.8,8.0
Alana Beard,LAS,G-F,33,33,30.8,4.2,9.5,0.436,1.1,2.6,0.402,3.1,6.9,0.449,2.0,2.5,0.795,0.3,2.2,3.3,2.0,0.4,2.5,2.8,11.4
Tully Bevilaqua,SAS,G,28,0,5.6,0.1,0.4,0.167,0.0,0.3,0.125,0.0,0.1,0.25,0.0,0.1,0.5,0.0,0.3,0.4,0.3,0.0,0.3,0.3,0.2
Sue Bird,SEA,G,29,29,31.0,4.6,10.0,0.459,1.8,4.8,0.384,2.8,5.2,0.526,1.2,1.6,0.783,0.2,2.9,5.3,0.9,0.1,2.2,1.1,12.2
Chante Black,TUL,C,29,13,12.6,1.2,2.4,0.5,0.0,0.0,,1.2,2.4,0.5,0.8,1.1,0.688,0.9,2.7,0.3,0.5,0.6,0.8,1.1,3.2
Shannon Bobbitt,WAS,G,28,5,14.9,1.0,3.1,0.33,0.3,1.4,0.225,0.7,1.7,0.417,0.4,0.6,0.611,0.4,1.2,2.6,0.5,0.1,1.3,1.4,2.8
DeWanna Bonner,PHO,F-G,32,32,35.0,6.6,18.2,0.364,1.6,5.8,0.283,5.0,12.4,0.402,5.8,6.8,0.852,1.7,7.2,2.2,1.7,0.9,2.3,1.4,20.6
Kara Braxton,NYL,C-F,34,18,15.7,3.0,6.2,0.481,0.0,0.1,0.2,3.0,6.1,0.488,0.5,1.2,0.45,1.8,4.5,1.1,0.5,0.6,2.2,1.7,6.6
